rank,bgg_url,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,designer,weight
19,https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition,183394,Viticulture Essential Edition,1,6,90,45,90,2015,8.17385,7.91061,12037,https://cf.geekdo-images.com/original/img/6KQbzbjV6HlxDZeqPwmrmR3gn6w=/0x0/pic2649952.jpg,13,"Hand Management, Variable Phase Order, Worker Placement",16732,"Economic, Farming","Morten Monrad Pedersen, Jamey Stegmaier, Alan Stone",2.9307
20,https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game,205637,Arkham Horror: The Card Game,1,2,120,60,120,2016,8.2564,7.90793,12047,https://cf.geekdo-images.com/original/img/EQ0Kl-bH9RCI5aJWVLnAlAfo00E=/0x0/pic3122349.jpg,14,"Action Point Allowance System, Co-operative Play, Deck / Pool Building, Hand Management, Role Playing, Variable Player Powers",22612,"Adventure, Card Game, Collectible Components, Fantasy, Horror, Novel-based","Nate French, Matthew Newman",3.2205
21,https://boardgamegeek.com/boardgame/205059/mansions-madness-second-edition,205059,Mansions of Madness: Second Edition,1,5,180,120,180,2016,8.20129,7.88669,12396,https://cf.geekdo-images.com/original/img/0jncNnMHVZqa4u3oMwVm2Zn84q8=/0x0/pic3118622.jpg,14,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Partnerships, Role Playing, Variable Player Powers",19680,"Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",Nikki Valens,2.6623
22,https://boardgamegeek.com/boardgame/124361/concordia,124361,Concordia,2,5,100,100,100,2013,8.07072,7.88377,15266,https://cf.geekdo-images.com/original/img/abKLQBfHHaouqsLx7GGiIzqXBu8=/0x0/pic3453267.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement",17797,"Ancient, Economic, Nautical",Mac Gerdts,3.1076
23,https://boardgamegeek.com/boardgame/170216/blood-rage,170216,Blood Rage,2,4,90,60,90,2015,8.07481,7.88092,20998,https://cf.geekdo-images.com/original/img/p4IovYzLVXqxY40lbGUu92VxaIQ=/0x0/pic2439223.jpg,14,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",26099,"Fantasy, Fighting, Miniatures, Mythology",Eric M. Lang,2.889
24,https://boardgamegeek.com/boardgame/209010/mechs-vs-minions,209010,Mechs vs. Minions,2,4,90,60,90,2016,8.21731,7.86875,9195,https://cf.geekdo-images.com/original/img/WhHdMb8GiMY-RhHddEByDyPkrWo=/0x0/pic3184103.jpg,14,"Action / Movement Programming, Card Drafting, Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers",14532,"Fantasy, Fighting, Miniatures, Video Game Theme","Chris Cantrell, Rick Ernst, Stone Librande, Prashant Saraswat, Nathan Tiras",2.4727
25,https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault,164153,Star Wars: Imperial Assault,2,5,120,60,120,2014,8.13522,7.85376,14563,https://cf.geekdo-images.com/original/img/wWTlEaPbVoUybefxFpFVTv1OU74=/0x0/pic2247647.jpg,14,"Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Variable Player Powers",25367,"Adventure, Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame","Justin Kemppainen, Corey Konieczka, Jonathan Ying",3.2846
26,https://boardgamegeek.com/boardgame/164928/orleans,164928,Orléans,2,4,90,90,90,2014,8.07954,7.8537,12709,https://cf.geekdo-images.com/original/img/RLjWKyzXimMFiQOa8uwo9ZWWOGM=/0x0/pic2578828.png,12,"Deck / Pool Building, Point to Point Movement, Worker Placement",14851,"Medieval, Religious, Travel",Reiner Stockhausen,3.1077
27,https://boardgamegeek.com/boardgame/25613/through-ages-story-civilization,25613,Through the Ages: A Story of Civilization,2,4,240,240,240,2006,8.02876,7.85126,16329,https://cf.geekdo-images.com/original/img/xeBBIO9BN7HGMxQdTw5zk5Hxou8=/0x0/pic236169.jpg,12,"Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management",16397,"Civilization, Economic",Vlaada Chvátil,4.1703
28,https://boardgamegeek.com/boardgame/175914/food-chain-magnate,175914,Food Chain Magnate,2,5,240,120,240,2015,8.22008,7.83662,7406,https://cf.geekdo-images.com/original/img/wYRsC32bPDRShIYzWs2hUglfcTc=/0x0/pic2649434.png,14,"Card Drafting, Deck / Pool Building, Modular Board, Route/Network Building, Simultaneous Action Selection",9193,"Economic, Industry / Manufacturing","Jeroen Doumen, Joris Wiersinga",4.2209
29,https://boardgamegeek.com/boardgame/2651/power-grid,2651,Power Grid,2,6,120,120,120,2004,7.91299,7.82722,46701,https://cf.geekdo-images.com/original/img/_3ewTndfCEMACKeTMPnREyvyX60=/0x0/pic173153.jpg,12,"Auction/Bidding, Route/Network Building",53847,"Economic, Industry / Manufacturing",Friedemann Friese,3.2821
30,https://boardgamegeek.com/boardgame/177736/feast-odin,177736,A Feast for Odin,1,4,120,30,120,2016,8.18983,7.81928,8145,https://cf.geekdo-images.com/original/img/h0P5NRuVBu0GuDrJo7CHAiSJo3U=/0x0/pic3146943.png,12,"Area Enclosure, Dice Rolling, Pattern Building, Press Your Luck, Tile Placement, Worker Placement",10846,"Economic, Industry / Manufacturing, Medieval, Puzzle",Uwe Rosenberg,3.8636
31,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,233078,Twilight Imperium: Fourth Edition,3,6,480,240,480,2017,8.90337,7.8159,3053,https://cf.geekdo-images.com/original/img/Xe0YAmobS_L0Nlo4YJgyFwOW9EM=/0x0/pic3727516.jpg,14,"Area Control / Area Influence, Area Movement, Area-Impulse, Dice Rolling, Modular Board, Set Collection, Trading, Variable Phase Order, Variable Player Powers, Voting",4877,"Civilization, Economic, Negotiation, Political, Science Fiction, Space Exploration, Wargame","Dane Beltrami, Corey Konieczka, Christian T. Petersen",4.1338
32,https://boardgamegeek.com/boardgame/72125/eclipse,72125,Eclipse,2,6,200,60,200,2011,7.97402,7.80979,22633,https://cf.geekdo-images.com/original/img/583Qqo-5M56np8LqnFKcCuUfn7A=/0x0/pic1974056.jpg,14,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",24441,"Civilization, Fighting, Science Fiction, Space Exploration, Wargame",Touko Tahkokallio,3.6863
33,https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2,221107,Pandemic Legacy: Season 2,2,4,60,60,60,2017,8.46509,7.80304,4181,https://cf.geekdo-images.com/original/img/DbXh4TeZPoJ_tSlX2KRGdVcBd8s=/0x0/pic3763549.jpg,14,"Co-operative Play, Hand Management, Pick-up and Deliver, Point to Point Movement, Set Collection, Variable Player Powers",9792,"Environmental, Exploration, Medical","Rob Daviau, Matt Leacock",3.1944
34,https://boardgamegeek.com/boardgame/55690/kingdom-death-monster,55690,Kingdom Death: Monster,1,6,180,60,180,2015,8.89537,7.79905,4739,https://cf.geekdo-images.com/original/img/AtA42fNGhdthAAP3Y5QZiwlFcv8=/0x0/pic2931007.jpg,17,"Co-operative Play, Dice Rolling, Grid Movement, Role Playing, Storytelling",6872,"Adventure, Fantasy, Horror, Mature / Adult, Miniatures, Mythology",Adam Poots,4.2361
35,https://boardgamegeek.com/boardgame/28720/brass-lancashire,28720,Brass: Lancashire,2,4,180,120,180,2007,8.01122,7.78889,11465,https://cf.geekdo-images.com/original/img/l4dwCcl4Vz0r4TD-2RgQ_uoHvWM=/0x0/pic3469216.jpg,14,"Hand Management, Route/Network Building",12122,"Economic, Industry / Manufacturing, Transportation",Martin Wallace,3.8757
36,https://boardgamegeek.com/boardgame/121921/robinson-crusoe-adventures-cursed-island,121921,Robinson Crusoe: Adventures on the Cursed Island,1,4,120,60,120,2012,7.95554,7.78544,23131,https://cf.geekdo-images.com/original/img/i1d3Zbbw5iYJ5_Bd0unqwgM8CI0=/0x0/pic3165731.jpg,14,"Action / Movement Programming, Co-operative Play, Deck / Pool Building, Dice Rolling, Storytelling, Tile Placement, Variable Player Powers, Worker Placement",35394,"Adventure, Exploration, Fighting, Novel-based",Ignacy Trzewiczek,3.7333
37,https://boardgamegeek.com/boardgame/35677/le-havre,35677,Le Havre,1,5,150,30,150,2008,7.91345,7.78218,21356,https://cf.geekdo-images.com/original/img/Fs2MqRUBPQzORmEZbiVqSnBvHDg=/0x0/pic3330230.jpg,12,Worker Placement,23447,"City Building, Economic, Industry / Manufacturing, Nautical",Uwe Rosenberg,3.7559
38,https://boardgamegeek.com/boardgame/126163/tzolk-mayan-calendar,126163,Tzolk'in: The Mayan Calendar,2,4,90,90,90,2012,7.93022,7.78148,21391,https://cf.geekdo-images.com/original/img/b_3SHZiUpcmrIT5hU8wVF0SDX8k=/0x0/pic1413480.jpg,13,"Set Collection, Worker Placement",24528,"Ancient, Civilization, Economic, Farming, Mythology","Simone Luciani, Daniele Tascini",3.6361
39,https://boardgamegeek.com/boardgame/124742/android-netrunner,124742,Android: Netrunner,2,2,45,45,45,2012,7.92234,7.74019,22767,https://cf.geekdo-images.com/original/img/Wbp__Fl6QDKqzealhK2SDpoEk_g=/0x0/pic3738560.jpg,14,"Action Point Allowance System, Hand Management, Secret Unit Deployment, Variable Player Powers",35645,"Bluffing, Card Game, Collectible Components, Science Fiction","Richard Garfield, Lukas Litzsinger",3.3592
40,https://boardgamegeek.com/boardgame/171623/voyages-marco-polo,171623,The Voyages of Marco Polo,2,4,100,40,100,2015,7.96457,7.73909,12780,https://cf.geekdo-images.com/original/img/ewdBaa31ROM_gOmpYwp4xszuAHk=/0x0/pic2461346.png,12,"Card Drafting, Dice Rolling, Point to Point Movement, Set Collection, Variable Player Powers, Worker Placement",15116,"Dice, Economic, Medieval, Travel","Simone Luciani, Daniele Tascini",3.1886
41,https://boardgamegeek.com/boardgame/230802/azul,230802,Azul,2,4,45,30,45,2017,8.01887,7.73689,11182,https://cf.geekdo-images.com/original/img/9-SR48jyfxs4At6255sjHoly2sw=/0x0/pic3718275.jpg,8,"Pattern Building, Set Collection, Tile Placement",15712,Abstract Strategy,Michael Kiesling,1.8458
42,https://boardgamegeek.com/boardgame/68448/7-wonders,68448,7 Wonders,2,7,30,30,30,2010,7.80273,7.71364,61466,https://cf.geekdo-images.com/original/img/3DP_RW5lTX0WrV67s8qi8CsiXoQ=/0x0/pic860217.jpg,10,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers",80301,"Ancient, Card Game, City Building, Civilization",Antoine Bauza,2.3429
43,https://boardgamegeek.com/boardgame/122515/keyflower,122515,Keyflower,2,6,120,90,120,2012,7.88728,7.70528,14261,https://cf.geekdo-images.com/original/img/t6AnEi2l5tiHgWRjglwSfRsYy6E=/0x0/pic2278942.jpg,12,"Auction/Bidding, Memory, Modular Board, Pick-up and Deliver, Route/Network Building, Set Collection, Tile Placement, Worker Placement",17371,"City Building, Economic, Nautical, Renaissance, Territory Building","Sebastian Bleasdale, Richard Breese",3.3432
44,https://boardgamegeek.com/boardgame/178900/codenames,178900,Codenames,2,8,15,15,15,2015,7.78988,7.69843,42207,https://cf.geekdo-images.com/original/img/MJ6MNz8-_rb1C2VUTnYBTYOiiy0=/0x0/pic2582929.jpg,14,"Memory, Partnerships, Press Your Luck",66565,"Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game",Vlaada Chvátil,1.3303
45,https://boardgamegeek.com/boardgame/162886/spirit-island,162886,Spirit Island,1,4,120,90,120,2017,8.4231,7.69611,4015,https://cf.geekdo-images.com/original/img/RmP2yBDA0LE-ZFWrEXAkgRuYjn0=/0x0/pic3615739.png,13,"Card Drafting, Co-operative Play, Hand Management, Modular Board, Simultaneous Action Selection, Variable Player Powers",6198,"Age of Reason, Environmental, Fantasy, Fighting, Mythology, Renaissance, Territory Building",R. Eric Reuss,3.8696
46,https://boardgamegeek.com/boardgame/18602/caylus,18602,Caylus,2,5,150,60,150,2005,7.82987,7.68489,23494,https://cf.geekdo-images.com/original/img/90BzC8_Dgc9uDswnZsu7Qa3oHvI=/0x0/pic1638795.jpg,12,Worker Placement,23855,"City Building, Economic, Medieval",William Attia,3.8189
47,https://boardgamegeek.com/boardgame/146021/eldritch-horror,146021,Eldritch Horror,1,8,240,120,240,2013,7.9131,7.68286,20599,https://cf.geekdo-images.com/original/img/i0zxc-H4TlTFB-yE1v4gcLy3XfY=/0x0/pic1872452.jpg,14,"Co-operative Play, Dice Rolling, Point to Point Movement, Variable Player Powers",30839,"Adventure, Fantasy, Fighting, Horror, Novel-based","Corey Konieczka, Nikki Valens",3.3129
48,https://boardgamegeek.com/boardgame/146508/time-stories,146508,T.I.M.E Stories,2,4,240,90,240,2015,7.8835,7.67918,15847,https://cf.geekdo-images.com/original/img/HgvRM7737qYJn6nFvfZ5IlSf800=/0x0/pic2617634.png,12,"Co-operative Play, Dice Rolling, Role Playing, Storytelling, Time Track, Variable Player Powers",24194,"Adventure, Mature / Adult, Puzzle, Science Fiction","Peggy Chassenet, Manuel Rozoy",2.6464
49,https://boardgamegeek.com/boardgame/28143/race-galaxy,28143,Race for the Galaxy,2,4,60,30,60,2007,7.76608,7.67254,37925,https://cf.geekdo-images.com/original/img/-2F-mPR0ssTm2IAsMAvnZzR0dn4=/0x0/pic236327.jpg,12,"Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",45477,"Card Game, Civilization, Economic, Science Fiction, Space Exploration",Thomas Lehmann,2.9763
50,https://boardgamegeek.com/boardgame/12493/twilight-imperium-third-edition,12493,Twilight Imperium (Third Edition),3,6,240,180,240,2005,7.89524,7.67162,16559,https://cf.geekdo-images.com/original/img/60YjBskGAQNmZP7sedVoXneBjZg=/0x0/pic4128153.jpg,14,"Action Point Allowance System, Area-Impulse, Dice Rolling, Modular Board, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting",18723,"Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame",Christian T. Petersen,4.2413
51,https://boardgamegeek.com/boardgame/110327/lords-waterdeep,110327,Lords of Waterdeep,2,5,120,60,120,2012,7.78071,7.66562,34638,https://cf.geekdo-images.com/original/img/PTVnjG9ersdKq6feZTpq5SkiPPw=/0x0/pic1116080.jpg,12,"Set Collection, Take That, Worker Placement",42406,"City Building, Fantasy","Peter Lee, Rodney Thompson",2.4908
52,https://boardgamegeek.com/boardgame/157354/five-tribes,157354,Five Tribes,2,4,80,40,80,2014,7.79888,7.6562,22271,https://cf.geekdo-images.com/original/img/ysxyEQPPbio1xvtx56l_8P8BkYs=/0x0/pic2055255.jpg,13,"Area Control / Area Influence, Auction/Bidding, Card Drafting, Modular Board, Set Collection",29058,"Animals, Arabian, Fantasy, Mythology",Bruno Cathala,2.8918
53,https://boardgamegeek.com/boardgame/62219/dominant-species,62219,Dominant Species,2,6,240,120,240,2010,7.84068,7.65269,14262,https://cf.geekdo-images.com/original/img/dpHznpiPiv8biNvE_P9RCkXaOx4=/0x0/pic784193.jpg,14,"Area Control / Area Influence, Card Drafting, Grid Movement, Modular Board, Tile Placement, Variable Player Powers, Worker Placement",14703,"Animals, Environmental, Prehistoric",Chad Jensen,4.035
54,https://boardgamegeek.com/boardgame/205896/rising-sun,205896,Rising Sun,3,5,120,90,120,2018,8.19132,7.65202,5849,https://cf.geekdo-images.com/original/img/B_QnVCi18kIQBPNajLjJkpXpW2s=/0x0/pic3880340.jpg,14,"Area Control / Area Influence, Area Movement, Card Drafting, Set Collection, Simultaneous Action Selection, Take That, Variable Phase Order, Variable Player Powers",10550,"Bluffing, Fantasy, Miniatures, Mythology, Negotiation, Wargame",Eric M. Lang,3.194
55,https://boardgamegeek.com/boardgame/159675/fields-arle,159675,Fields of Arle,1,2,120,60,120,2014,8.17292,7.65047,4795,https://cf.geekdo-images.com/original/img/xlgiqGRKx6LZuhjh5iR-dtbMrJQ=/0x0/pic2225968.png,13,Worker Placement,7787,"Economic, Farming, Industry / Manufacturing",Uwe Rosenberg,3.9068
56,https://boardgamegeek.com/boardgame/93/el-grande,93,El Grande,2,5,120,60,120,1995,7.78817,7.6475,20030,https://cf.geekdo-images.com/original/img/M3EB6PPPhdhwXaEZyr1335o_3lQ=/0x0/pic180538.jpg,12,"Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",19232,Renaissance,"Wolfgang Kramer, Richard Ulrich",3.0764
57,https://boardgamegeek.com/boardgame/163412/patchwork,163412,Patchwork,2,2,30,15,30,2014,7.76056,7.64154,27460,https://cf.geekdo-images.com/original/img/Z8MYZktgvGTtIikMv9HSpD_ERAI=/0x0/pic2270442.jpg,8,"Tile Placement, Time Track",40272,"Abstract Strategy, Puzzle",Uwe Rosenberg,1.7081
58,https://boardgamegeek.com/boardgame/216132/clans-caledonia,216132,Clans of Caledonia,1,4,120,30,120,2017,8.13711,7.6414,5325,https://cf.geekdo-images.com/original/img/wMBrwd-ZnHVV_XvVT3Tc6LtD0Ng=/0x0/pic3511783.png,12,"Commodity Speculation, Modular Board, Route/Network Building, Variable Player Powers",7682,Economic,Juma Al-JouJou,3.4133
59,https://boardgamegeek.com/boardgame/40834/dominion-intrigue,40834,Dominion: Intrigue,2,4,30,30,30,2009,7.76244,7.63396,25448,https://cf.geekdo-images.com/original/img/r0aALn-3X6WgRcnDqVxbxGSG0tw=/0x0/pic460011.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management",36342,"Card Game, Medieval",Donald X. Vaccarino,2.4395
60,https://boardgamegeek.com/boardgame/132531/roll-galaxy,132531,Roll for the Galaxy,2,5,45,45,45,2014,7.77702,7.62599,18671,https://cf.geekdo-images.com/original/img/SBmipyinTpLle9HmAfE0jJWKj3I=/0x0/pic1473629.jpg,13,"Deck / Pool Building, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",23686,"Civilization, Dice, Economic, Science Fiction, Space Exploration","Wei-Hwa Huang, Thomas Lehmann",2.7518
61,https://boardgamegeek.com/boardgame/201808/clank-deck-building-adventure,201808,Clank!: A Deck-Building Adventure,2,4,60,30,60,2016,7.878,7.6243,11763,https://cf.geekdo-images.com/original/img/MfZd82Kty4dFb6_hWj_OR03fzZI=/0x0/pic3056966.jpg,12,"Card Drafting, Deck / Pool Building, Player Elimination, Point to Point Movement, Press Your Luck",15831,"Adventure, Fantasy",Paul Dennen,2.2335
62,https://boardgamegeek.com/boardgame/37111/battlestar-galactica-board-game,37111,Battlestar Galactica: The Board Game,3,6,300,120,300,2008,7.75261,7.61095,28025,https://cf.geekdo-images.com/original/img/-hZFpTm-evjyuLD_bj-y845-4f8=/0x0/pic354500.jpg,10,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Partnerships, Role Playing, Variable Player Powers",31125,"Bluffing, Deduction, Movies / TV / Radio theme, Political, Science Fiction, Space Exploration, Spies/Secret Agents",Corey Konieczka,3.2292
63,https://boardgamegeek.com/boardgame/103885/star-wars-x-wing-miniatures-game,103885,Star Wars: X-Wing Miniatures Game,2,2,45,30,45,2012,7.81743,7.60547,19398,https://cf.geekdo-images.com/original/img/6GthoJMvWgSpxVoWF1TEbMtXWd4=/0x0/pic1603292.jpg,14,"Action / Movement Programming, Dice Rolling, Player Elimination, Simultaneous Action Selection, Variable Player Powers",32757,"Aviation / Flight, Bluffing, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",Jason Little,2.4727
64,https://boardgamegeek.com/boardgame/150376/dead-winter-crossroads-game,150376,Dead of Winter: A Crossroads Game,2,5,120,60,120,2014,7.74899,7.60396,28885,https://cf.geekdo-images.com/original/img/pOYQOSR1CnXcN6pEPx3yFDjKFaA=/0x0/pic3016500.jpg,13,"Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling, Hand Management, Press Your Luck, Storytelling, Trading, Variable Player Powers, Voting",39714,"Bluffing, Deduction, Horror, Zombies","Jonathan Gilmour, Isaac Vega",3.0008
